file_name  , number_bboxes, drop_predictions       , drop_areas                                                                                                                                        , speed_mm_s          , frequency_Hz
img0061.jpg,             4, "[2, 1, 1, 1]"         , "[1.115185950413223, 0.1725206611570248, 0.9018595041322315, 0.5025826446280992]"                                                                 ,  0.0                ,  0.0
img0062.jpg,             4, "[2, 1, 1, 1]"         , "[1.1048553719008265, 0.1725206611570248, 0.9018595041322315, 0.48398760330578516]"                                                               ,  0.22727272727272727,  0.12048192771084336
img0063.jpg,             4, "[2, 1, 1, 1]"         , "[1.0919421487603307, 0.16735537190082644, 0.8956611570247934, 0.4684917355371901]"                                                               ,  0.0                ,  0.0
img0064.jpg,             4, "[2, 1, 1, 1]"         , "[1.0965909090909092, 0.17303719008264462, 0.9044421487603306, 0.490702479338843]"                                                                ,  0.0                ,  0.0
img0065.jpg,             4, "[2, 1, 1, 1]"         , "[1.0805785123966942, 0.16890495867768596, 0.9003099173553719, 0.48295454545454547]"                                                              ,  0.22727272727272727,  0.11904761904761904
img0066.jpg,             4, "[2, 1, 1, 1]"         , "[1.1012396694214877, 0.18181818181818182, 0.9080578512396694, 0.46797520661157027]"                                                              ,  0.0                ,  0.0
img0067.jpg,             4, "[2, 1, 1, 1]"         , "[1.0862603305785123, 0.17407024793388431, 0.9101239669421488, 0.4545454545454546]"                                                               ,  0.0                ,  0.0
img0068.jpg,             4, "[2, 1, 1, 1]"         , "[1.0919421487603307, 0.18491735537190082, 0.8925619834710744, 0.4669421487603306]"                                                               ,  0.22727272727272727,  0.11904761904761904
img0069.jpg,             5, "[2, 1, 1, 1, 1]"      , "[1.0945247933884297, 0.17820247933884298, 0.9059917355371901, 0.4819214876033058, 0.1399793388429752]"                                           ,  0.45454545454545453,  0.17094017094017092
img0070.jpg,             5, "[2, 1, 2, 1, 1]"      , "[1.0821280991735538, 0.19318181818181818, 0.8972107438016529, 0.4524793388429752, 0.16270661157024793]"                                          ,  0.0                ,  0.0
img0071.jpg,             5, "[2, 1, 1, 1, 1]"      , "[1.0883264462809918, 0.18130165289256198, 0.8899793388429752, 0.4684917355371901, 0.15134297520661158]"                                          ,  0.22727272727272727,  0.08403361344537814
img0072.jpg,             5, "[2, 1, 1, 1, 1]"      , "[1.0914256198347108, 0.19524793388429754, 0.9313016528925621, 0.44266528925619836, 0.16167355371900827]"                                         ,  0.22727272727272727,  0.08368200836820083
img0073.jpg,             5, "[2, 1, 1, 1, 1]"      , "[1.0919421487603307, 0.1890495867768595, 0.9132231404958678, 0.4400826446280992, 0.15495867768595042]"                                           ,  0.0                ,  0.0
img0074.jpg,             5, "[2, 1, 1, 1, 1]"      , "[1.0924586776859504, 0.19266528925619836, 0.925103305785124, 0.4369834710743802, 0.2081611570247934]"                                            ,  0.22727272727272727,  0.08474576271186439
img0075.jpg,             5, "[2, 1, 1, 1, 1]"      , "[1.1053719008264462, 0.18181818181818182, 0.9173553719008265, 0.4152892561983471, 0.18336776859504134]"                                          ,  0.22727272727272727,  0.08474576271186439
img0076.jpg,             5, "[2, 1, 1, 1, 1]"      , "[1.1043388429752066, 0.1859504132231405, 0.925103305785124, 0.440599173553719, 0.19731404958677687]"                                             ,  0.0                ,  0.0
img0077.jpg,             5, "[2, 1, 1, 1, 1]"      , "[1.1131198347107438, 0.17923553719008264, 0.9090909090909092, 0.41735537190082644, 0.2272727272727273]"                                          ,  0.45454545454545453,  0.1702127659574468
img0078.jpg,             5, "[2, 1, 1, 1, 1]"      , "[1.1141528925619835, 0.18388429752066116, 0.9163223140495868, 0.40960743801652894, 0.21022727272727273]"                                         ,  0.0                ,  0.0
img0079.jpg,             5, "[2, 1, 1, 1, 1]"      , "[1.1141528925619835, 0.17148760330578514, 0.9085743801652892, 0.42148760330578516, 0.2303719008264463]"                                          ,  0.0                ,  0.0
img0080.jpg,             5, "[2, 1, 1, 1, 1]"      , "[1.134814049586777, 0.17355371900826447, 0.9075413223140496, 0.4044421487603306, 0.2747933884297521]"                                            ,  0.22727272727272727,  0.08438818565400844
img0081.jpg,             5, "[2, 1, 1, 1, 1]"      , "[1.1430785123966942, 0.1921487603305785, 0.90650826446281, 0.4385330578512397, 0.3047520661157025]"                                              ,  0.0                ,  0.0
img0082.jpg,             5, "[2, 1, 1, 1, 1]"      , "[1.1456611570247934, 0.19111570247933884, 0.8992768595041323, 0.3982438016528926, 0.25413223140495866]"                                          ,  0.22727272727272727,  0.08333333333333333
img0083.jpg,             5, "[2, 1, 1, 1, 1]"      , "[1.1296487603305785, 0.18388429752066116, 0.9266528925619835, 0.4235537190082645, 0.3300619834710744]"                                           ,  0.0                ,  0.0
img0084.jpg,             5, "[2, 1, 1, 1, 1]"      , "[1.131714876033058, 0.19421487603305787, 0.9204545454545455, 0.4519628099173554, 0.3305785123966942]"                                            ,  0.22727272727272727,  0.08333333333333333
img0085.jpg,             5, "[2, 1, 1, 1, 1]"      , "[1.1275826446280992, 0.19369834710743802, 0.9199380165289256, 0.4566115702479339, 0.365702479338843]"                                            ,  0.22727272727272727,  0.08196721311475409
img0086.jpg,             5, "[2, 1, 1, 1, 1]"      , "[1.1353305785123968, 0.17871900826446283, 0.9116735537190083, 0.4597107438016529, 0.38016528925619836]"                                          ,  0.45454545454545453,  0.16326530612244897
img0087.jpg,             5, "[2, 1, 1, 1, 1]"      , "[1.1451446280991735, 0.1678719008264463, 0.9101239669421488, 0.4555785123966942, 0.3941115702479339]"                                            ,  0.22727272727272727,  0.08298755186721991
